array size,nanoseconds,operations 
0,0,0
1,1151,1
2,289,4
3,339,9
4,432,16
5,560,25
6,751,36
7,925,49
8,1171,64
9,1387,81
10,1638,100
11,1944,121
12,2306,144
13,2594,169
14,2921,196
15,3173,225
16,3848,256
17,3960,289
18,4365,324
19,5156,361
20,5480,400
21,6146,441
22,6126,484
23,6559,529
24,7295,576
25,7771,625
26,8650,676
27,9524,729
28,9939,784
29,10689,841
30,11229,900
31,12498,961
32,12983,1024
33,12945,1089
34,14415,1156
35,14767,1225
36,16014,1296
37,17026,1369
38,18150,1444
39,17630,1521
40,19157,1600
41,20582,1681
42,21598,1764
43,21683,1849
44,22944,1936
45,24193,2025
46,24440,2116
47,26895,2209
48,26029,2304
49,27994,2401
50,29546,2500
51,31434,2601
52,31617,2704
53,32445,2809
54,32562,2916
55,34772,3025
56,36924,3136
57,37943,3249
58,39063,3364
59,41386,3481
60,60050,3600
61,42861,3721
62,46083,3844
63,46094,3969
64,47252,4096
65,48534,4225
66,49780,4356
67,52041,4489
68,54495,4624
69,57265,4761
70,54858,4900
71,58330,5041
72,59858,5184
73,61207,5329
74,61909,5476
75,64216,5625
76,66566,5776
77,66982,5929
78,70064,6084
79,67849,6241
80,72005,6400
81,76561,6561
82,77696,6724
83,75521,6889
84,79567,7056
85,80559,7225
86,82072,7396
87,85764,7569
88,87612,7744
89,90894,7921
90,89693,8100
91,92356,8281
92,96785,8464
93,93364,8649
94,99233,8836
95,100640,9025
96,103703,9216
97,106332,9409
98,109467,9604
99,112177,9801
100,115896,10000
101,120401,10201
102,115397,10404
103,119393,10609
104,119689,10816
105,123898,11025
106,127491,11236
107,133653,11449
108,132718,11664
109,134107,11881
110,134463,12100
111,138044,12321
112,139335,12544
113,146148,12769
114,147749,12996
115,147215,13225
116,152970,13456
117,154509,13689
118,154351,13924
119,156924,14161
120,162736,14400
121,164144,14641
122,169166,14884
123,172103,15129
124,166596,15376
125,166336,15625
126,181280,15876
127,179480,16129
128,182366,16384
129,187834,16641
130,195450,16900
131,187372,17161
132,191438,17424
133,193624,17689
134,197009,17956
135,199077,18225
136,205601,18496
137,205399,18769
138,205236,19044
139,285563,19321
140,220765,19600
141,226075,19881
142,220702,20164
143,230010,20449
144,236095,20736
145,236332,21025
146,235211,21316
147,244076,21609
148,237259,21904
149,247270,22201
150,239117,22500
151,249032,22801
152,253285,23104
153,266235,23409
154,261453,23716
155,261150,24025
156,265207,24336
157,269726,24649
158,274733,24964
159,273822,25281
160,267644,25600
161,281020,25921
162,279293,26244
163,305435,26569
164,288379,26896
165,308610,27225
166,297944,27556
167,303527,27889
168,308356,28224
169,310957,28561
170,307633,28900
171,309813,29241
172,322102,29584
173,328195,29929
174,322471,30276
175,350174,30625
176,332477,30976
177,334396,31329
178,344081,31684
179,349597,32041
180,348007,32400
181,352861,32761
182,414141,33124
183,358594,33489
184,373194,33856
185,367455,34225
186,378404,34596
187,373989,34969
188,387511,35344
189,383696,35721
190,382924,36100
191,385789,36481
192,403926,36864
193,408865,37249
194,403047,37636
195,416295,38025
196,416076,38416
197,418421,38809
198,431278,39204
199,436783,39601
200,430240,40000
201,481538,40401
202,447592,40804
203,451269,41209
204,452708,41616
205,445666,42025
206,453232,42436
207,473365,42849
208,469345,43264
209,479399,43681
210,478751,44100
211,474605,44521
212,487936,44944
213,470795,45369
214,509707,45796
215,510886,46225
216,515590,46656
217,521389,47089
218,512564,47524
219,523077,47961
220,525082,48400
221,523873,48841
222,542412,49284
223,536851,49729
224,534187,50176
225,547037,50625
226,572387,51076
227,561887,51529
228,571884,51984
229,562232,52441
230,573796,52900
231,574402,53361
232,584472,53824
233,584717,54289
234,592836,54756
235,603667,55225
236,592105,55696
237,622474,56169
238,610781,56644
239,618796,57121
240,630849,57600
241,622065,58081
242,630459,58564
243,647341,59049
244,673447,59536
245,637180,60025
246,663287,60516
247,667168,61009
248,696399,61504
249,675614,62001
250,679755,62500
251,686922,63001
252,693652,63504
253,688620,64009
254,685491,64516
255,696293,65025
256,700510,65536
257,711385,66049
258,713071,66564
259,725813,67081
260,742434,67600
261,718293,68121
262,723878,68644
263,776380,69169
264,774076,69696
265,763679,70225
266,779505,70756
267,767898,71289
268,771066,71824
269,793158,72361
270,799479,72900
271,811272,73441
272,793007,73984
273,804266,74529
274,815152,75076
275,809147,75625
276,820288,76176
277,825986,76729
278,829252,77284
279,893313,77841
280,857497,78400
281,860351,78961
282,899114,79524
283,871400,80089
284,870410,80656
285,884733,81225
286,888428,81796
287,886523,82369
288,895775,82944
289,877411,83521
290,925142,84100
291,930606,84681
292,916899,85264
293,916509,85849
294,933356,86436
295,944429,87025
296,914089,87616
297,945916,88209
298,962146,88804
299,956681,89401
300,970087,90000
301,978931,90601
302,973384,91204
303,966156,91809
304,1008465,92416
305,1013606,93025
306,1002187,93636
307,1013809,94249
308,1023095,94864
309,1007257,95481
310,1040141,96100
311,1033013,96721
312,1105117,97344
313,1148486,97969
314,1101514,98596
315,1086656,99225
316,1075727,99856
317,1084541,100489
318,1097025,101124
319,1120523,101761
320,1116090,102400
321,1108168,103041
322,1109018,103684
323,1097739,104329
324,1151774,104976
325,1285684,105625
326,1157655,106276
327,1179513,106929
328,1144907,107584
329,1186928,108241
330,1206456,108900
331,1189314,109561
332,1188033,110224
333,1216183,110889
334,1230138,111556
335,1216924,112225
336,1248185,112896
337,1187352,113569
338,1278425,114244
339,1253922,114921
340,1248153,115600
341,1283476,116281
342,1274349,116964
343,1280164,117649
344,1323764,118336
345,1279461,119025
346,1330272,119716
347,1335128,120409
348,1328204,121104
349,1339367,121801
350,1347286,122500
351,1333615,123201
352,1366219,123904
353,1356759,124609
354,1313784,125316
355,1346538,126025
356,1399631,126736
357,1394938,127449
358,1424439,128164
359,1395488,128881
360,1425610,129600
361,1428557,130321
362,1433832,131044
363,1394467,131769
364,1446579,132496
365,1460902,133225
366,1445775,133956
367,1445714,134689
368,1495555,135424
369,1506645,136161
370,1483480,136900
371,1456263,137641
372,1502722,138384
373,1520179,139129
374,1528762,139876
375,1521858,140625
376,1519891,141376
377,1535413,142129
378,1544335,142884
379,1574421,143641
380,1593932,144400
381,1608210,145161
382,1580365,145924
383,1603678,146689
384,1590187,147456
385,1601260,148225
386,1605039,148996
387,1652321,149769
388,1635022,150544
389,1641954,151321
390,1656429,152100
391,1745603,152881
392,1877171,153664
393,1714779,154449
394,1763387,155236
395,1700086,156025
396,1712012,156816
397,1747849,157609
