minDistance,,,minDistance2,,
array size,nanoseconds,operations1,array size,nanoseconds,operations2
0,0,0,0,0,0
1,320,1,1,111,0
2,172,4,2,118,1
3,267,9,3,172,3
4,325,16,4,257,6
5,442,25,5,339,10
6,627,36,6,343,15
7,738,49,7,358,21
8,808,64,8,431,28
9,999,81,9,477,36
10,1093,100,10,619,45
11,1301,121,11,730,55
12,1326,144,12,755,66
13,1494,169,13,839,78
14,1773,196,14,963,91
15,2115,225,15,1109,105
16,2448,256,16,1377,120
17,2678,289,17,1342,136
18,2909,324,18,1499,153
19,2924,361,19,1648,171
20,3345,400,20,1851,190
21,3870,441,21,2183,210
22,4173,484,22,2120,231
23,4274,529,23,2341,253
24,4697,576,24,2521,276
25,5343,625,25,2794,300
26,5465,676,26,2936,325
27,5714,729,27,3097,351
28,6320,784,28,3305,378
29,6834,841,29,3278,406
30,6539,900,30,4046,435
31,7938,961,31,4102,465
32,8283,1024,32,4597,496
33,8523,1089,33,4548,528
34,9384,1156,34,4842,561
35,9394,1225,35,4960,595
36,10556,1296,36,5192,630
37,10420,1369,37,5825,666
38,11480,1444,38,5965,703
39,11913,1521,39,6270,741
40,12071,1600,40,6687,780
41,13106,1681,41,6886,820
42,13745,1764,42,7250,861
43,13952,1849,43,7786,903
44,14618,1936,44,8103,946
45,15275,2025,45,8414,990
46,16155,2116,46,8649,1035
47,16828,2209,47,8887,1081
48,17700,2304,48,9384,1128
49,18401,2401,49,9700,1176
50,19188,2500,50,9988,1225
51,20339,2601,51,10324,1275
52,20865,2704,52,10750,1326
53,21564,2809,53,11328,1378
54,21990,2916,54,12360,1431
55,22398,3025,55,12184,1485
56,23877,3136,56,12520,1540
57,24751,3249,57,13063,1596
58,25949,3364,58,13025,1653
59,26331,3481,59,13911,1711
60,27582,3600,60,14728,1770
61,28094,3721,61,14715,1830
62,28944,3844,62,15346,1891
63,29409,3969,63,15911,1953
64,30947,4096,64,16235,2016
65,32068,4225,65,16977,2080
66,32721,4356,66,17662,2145
67,45935,4489,67,17686,2211
68,34669,4624,68,18376,2278
69,35773,4761,69,18851,2346
70,35870,4900,70,19566,2415
71,37806,5041,71,21462,2485
72,38875,5184,72,21040,2556
73,40251,5329,73,21235,2628
74,35787,5476,74,20550,2701
75,43663,5625,75,22052,2775
76,41990,5776,76,21594,2850
77,42719,5929,77,22513,2926
78,43876,6084,78,24827,3003
79,48163,6241,79,25368,3081
80,50187,6400,80,25793,3160
81,49522,6561,81,26018,3240
82,51153,6724,82,26370,3321
83,53273,6889,83,26657,3403
84,52796,7056,84,26560,3486
85,55266,7225,85,27523,3570
86,55852,7396,86,28054,3655
87,57296,7569,87,29546,3741
88,59728,7744,88,30902,3828
89,59769,7921,89,30876,3916
90,61664,8100,90,31351,4005
91,62811,8281,91,31748,4095
92,63349,8464,92,32679,4186
93,68450,8649,93,33827,4278
94,64780,8836,94,35181,4371
95,61041,9025,95,34752,4465
96,65190,9216,96,35063,4560
97,68087,9409,97,35944,4656
98,70188,9604,98,38854,4753
99,69252,9801,99,37760,4851
100,70826,10000,100,36821,4950
101,70630,10201,101,38692,5050
102,72546,10404,102,39763,5151
103,77728,10609,103,40178,5253
104,79800,10816,104,53114,5356
105,80737,11025,105,41113,5460
106,83222,11236,106,42059,5565
107,89206,11449,107,43914,5671
108,90879,11664,108,45510,5778
109,93335,11881,109,47236,5886
110,91745,12100,110,46662,5995
111,92583,12321,111,48065,6105
112,88968,12544,112,46468,6216
113,93561,12769,113,50031,6328
114,93146,12996,114,49193,6441
115,97145,13225,115,51713,6555
116,95554,13456,116,50987,6670
117,98868,13689,117,52020,6786
118,104641,13924,118,52613,6903
119,103492,14161,119,54830,7021
120,105854,14400,120,55987,7140
121,108199,14641,121,57383,7260
122,108148,14884,122,56900,7381
123,110973,15129,123,57666,7503
124,112132,15376,124,59162,7626
125,116717,15625,125,59487,7750
126,114538,15876,126,59674,7875
127,120628,16129,127,60762,8001
128,119483,16384,128,63735,8128
129,122345,16641,129,61874,8256
130,121783,16900,130,65208,8385
131,126328,17161,131,64871,8515
132,132165,17424,132,67325,8646
133,136365,17689,133,69372,8778
134,138021,17956,134,68518,8911
135,137071,18225,135,71127,9045
136,138248,18496,136,71556,9180
137,136954,18769,137,72766,9316
138,141062,19044,138,77145,9453
139,142372,19321,139,75201,9591
140,142724,19600,140,73472,9730
141,149198,19881,141,87719,9870
142,144121,20164,142,76295,10011
143,149033,20449,143,74220,10153
144,152861,20736,144,76880,10296
145,155937,21025,145,80031,10440
146,158920,21316,146,80705,10585
147,157636,21609,147,80970,10731
148,164774,21904,148,81888,10878
149,161932,22201,149,79965,11026
150,162794,22500,150,84350,11175
